user_id,segment,ab_group,drop,activacion,setup,habito_calc
MLB10601774330,1,treatment,0,1,1,0
MLB2592894450,1,treatment,0,1,0,0
MLB10525913140,1,control,0,1,1,0
MLB10525913140,1,control,0,1,1,0
MLB8343293060,1,treatment,0,1,1,0
MLB3973529690,1,treatment,0,1,1,0
MLB10520212480,1,treatment,0,1,1,0
MLB41291948010,2,treatment,0,1,1,1
MLB4773716710,1,treatment,0,1,1,0
MLB5312858210,1,treatment,0,1,1,0
MLB410653897690,2,treatment,0,1,1,1
MLB5661699300,1,treatment,0,1,1,0
MLB10646628230,1,treatment,0,1,1,0
MLB7138966160,1,treatment,0,1,0,0
MLB7664001470,1,treatment,0,1,0,0
MLB10646628230,1,treatment,0,1,1,0
MLB410585675640,2,control,0,1,1,1
MLB1047493980,1,treatment,0,1,1,0
MLB1353852630,1,treatment,0,1,1,0
MLB10610619450,1,treatment,0,1,1,0
MLB7465550630,1,treatment,0,1,1,0
MLB6603636280,1,treatment,0,1,0,0
MLB2462336030,1,treatment,0,1,1,0
MLB4743930770,1,treatment,0,1,0,0
MLB41735665390,2,treatment,0,1,1,1
MLB7608286360,1,treatment,0,1,1,0
MLB410628039270,2,treatment,0,1,1,1
MLB7794815230,1,treatment,0,1,1,0
MLB410552253500,2,treatment,0,1,1,1
MLB3325912000,1,treatment,0,1,0,0
MLB3229038590-1,1,treatment,0,1,0,0
MLB512906040,1,treatment,0,1,1,0
MLB1117678380,1,treatment,0,1,1,0
MLB10516073750,1,treatment,0,1,1,0
MLB10607446150,1,treatment,0,1,1,0
MLB10638091090,1,control,0,1,1,0
MLB2472393900,1,treatment,0,1,1,0
MLB410229951120,2,treatment,0,1,1,1
MLB2618160800,1,treatment,0,1,1,0
MLB10523141070,1,treatment,0,1,1,0
MLB42618122800,2,treatment,0,1,1,1
MLB10641420010,1,treatment,0,1,1,0
MLB8186171120-1,1,treatment,0,1,1,0
MLB10561424890,1,treatment,0,1,1,0
MLB10610187440,1,control,0,1,1,0
MLB10618708310,1,treatment,0,1,1,0
MLB3350248620-1,1,treatment,0,1,0,0
MLB10573875410,1,treatment,0,1,1,0
MLB10628716480,1,treatment,0,1,1,0
MLB10573875410,1,treatment,0,1,1,0
MLB7679060870,1,treatment,0,1,1,0
MLB410664369300,2,treatment,0,1,1,1
MLB1515058050,1,treatment,0,1,1,0
MLB4506362280-1,1,treatment,0,1,0,0
MLB10564914630,1,treatment,0,1,1,0
MLB1739682480-1,1,treatment,0,1,1,0
MLB5407711220-1,1,treatment,0,1,1,0
MLB6887848060,1,treatment,0,1,1,0
MLB10591935990,1,treatment,0,1,1,0
MLB2281100950,1,treatment,0,1,1,0
MLB3159415620,1,treatment,0,1,1,0
MLB10531272000,1,treatment,0,1,1,0
MLB10583866400,1,treatment,0,1,1,0
MLB10603665220,1,treatment,0,1,1,0
MLB43900192200,2,treatment,0,1,1,1
MLB10619766900,1,treatment,0,1,1,0
MLB10542856680,1,treatment,0,1,0,0
MLB10561286540,1,treatment,0,1,1,0
MLB8141537210,1,treatment,0,1,1,0
MLB10524294850,1,treatment,0,1,1,0
MLB10525651760,1,treatment,0,1,1,0
MLB49130873220,2,treatment,0,1,0,1
MLB10602082490,1,treatment,0,1,0,0
MLB10589857660,1,treatment,0,1,1,0
MLB410613052850,2,treatment,0,1,1,1
MLB5412548200,1,treatment,0,1,1,0
MLB10564667650,1,treatment,0,1,1,0
MLB2156525820,1,treatment,0,1,1,0
MLB10635797420,1,treatment,0,1,1,0
MLB10613507160,1,treatment,0,1,1,0
MLB816347280,1,treatment,0,1,1,0
MLB10554685650,1,treatment,0,0,0,0
MLB410525913140,2,treatment,0,1,1,1
MLB10604723400,1,treatment,0,1,1,0
MLB10565566760,1,treatment,0,1,1,0
MLB10642761620,1,treatment,0,1,1,0
MLB10572759130,1,treatment,0,1,1,0
MLB1616778190,1,treatment,0,1,0,0
MLB4321634480,1,treatment,0,1,0,0
MLB10118139040,1,treatment,0,1,1,0
MLB41667030770,2,treatment,0,1,1,1
MLB10662071510,1,treatment,0,1,1,0
MLB10513469680,1,treatment,0,1,0,0
MLB10118139040,1,treatment,0,1,1,0
MLB7151492240,1,treatment,0,1,1,0
MLB10537092670,1,treatment,0,1,1,0
MLB10656997810,1,treatment,0,1,0,0
MLB10586033980,1,treatment,0,1,1,0
MLB49100997122,2,treatment,0,1,1,1
MLB10626118480,1,treatment,0,1,1,0
MLB410494418500,2,treatment,0,1,1,1
MLB5789325990,1,treatment,0,1,0,0
MLB10515966100,1,treatment,0,1,1,0
MLB1739682480,1,treatment,0,1,1,0
MLB7841433660,1,treatment,0,1,0,0
MLB10034591010,1,treatment,0,1,1,0
MLB10600132290,1,treatment,0,1,1,0
MLB10491198860,1,treatment,0,1,1,0
MLB10620381100,1,treatment,0,1,1,0
MLB2754557140,1,treatment,0,1,1,0
MLB10521329980,1,treatment,0,1,1,0
MLB7624135420,1,treatment,0,1,1,0
MLB7624135420,1,treatment,0,1,1,0
MLB6116729420,1,treatment,0,1,1,0
MLB10635680280,1,treatment,0,1,1,0
MLB10638402250,1,treatment,0,1,1,0
MLB10630859300,1,treatment,0,1,1,0
MLB410596502300,2,treatment,0,1,1,1
MLB10610419360,1,treatment,0,1,1,0
MLB3657945910-1,1,treatment,0,1,1,0
MLB7486001210,1,treatment,0,1,1,0
MLB410525553520,2,treatment,0,1,1,1
MLB10519204540,1,treatment,0,1,1,0
MLB10003554750,1,treatment,0,1,1,0
MLB4735384670,1,treatment,0,1,0,0
MLB1593511240,1,treatment,0,1,0,0
MLB10455904480,1,treatment,0,1,1,0
MLB2385232970,1,treatment,0,1,0,0
MLB8295268290,1,treatment,0,1,1,0
MLB46629202050,2,treatment,0,1,1,1
MLB10635942760-1,1,treatment,0,1,0,0
MLB10549035390,1,treatment,0,1,1,0
MLB10596502300,1,control,0,1,1,0
MLB10596502300,1,control,0,1,1,0
MLB10625587100,1,treatment,0,1,1,0
MLB10589263600,1,treatment,0,1,1,0
MLB7684629760,1,treatment,0,1,1,0
MLB2071897260,1,treatment,0,1,1,0
MLB410562598730,2,treatment,0,1,1,1
MLB410597669130,2,treatment,0,1,1,1
MLB1331323180,1,control,0,1,0,0
MLB10535825280,1,treatment,0,1,1,0
MLB10596502300,1,treatment,0,1,1,0
MLB10596502300,1,treatment,0,1,1,0
MLB10595880640,1,treatment,0,1,1,0
MLB3198268210,1,treatment,0,1,1,0
MLB10535825280,1,treatment,0,1,1,0
MLB7188185610,1,treatment,0,1,0,0
MLB10510812690,1,treatment,0,1,1,0
MLB7582100540,1,treatment,0,1,1,0
MLB410495770230,2,treatment,0,1,1,1
MLB10653897690,1,treatment,0,1,1,0
MLB10423325940,1,treatment,0,1,1,0
MLB10533862970,1,treatment,0,1,1,0
MLB4143325700,1,treatment,0,1,1,0
MLB10571240970,1,treatment,0,1,1,0
MLB47512492422,2,treatment,0,1,1,1
MLB44818127630,2,treatment,0,1,1,1
MLB4818127630,1,treatment,0,1,1,0
MLB7710157500,1,treatment,0,1,1,0
MLB7684629760-1,1,treatment,0,1,1,0
MLB10605571010,1,treatment,0,1,1,0
MLB1045529450,1,treatment,0,1,0,0
MLB410569013910,2,treatment,0,1,1,1
MLB10600039960,1,treatment,0,1,1,0
MLB10523151730,1,treatment,0,1,1,0
